Game,Opponent,Opponent Division,Opponent Pitcher,Opponent Pitcher Hand,Home v Away,Stadium,Game Start,Temperature ,Game Conditions,HP Umpire,Inning,At Bat #,Pitch,Pitch Type,Pitch Speed,Times seen pitch in at bat,Times seen pitch in game,pre-pitch balls,pre-pitch strikes,Result,Location,First At Bat,Second At Bat,Third At Bat,Fourth At Bat,Faced Team Before?,AL East?,Faced Pitcher Before?,How Many Times?,40-50 Deg,50-60 Deg,60-70 Deg,70-80 Deg,80+ Deg,Ball In Play,>4 Pitches,>5 Pitches,>6 Pitches,>7 Pitches,CY Young P,2021 All Star P,Late Game,Extra Innings,PP FB,PP Cut,PP Change,PP Curve,PP Slider,PP Sinker,PP Splitter,PP Knuckle Cv,,,,,,,,,,
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,2,1,1,Slider,87,0,0,0,0,Swinging strike,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,2,1,2,Slider,88.1,1,1,0,1,Ball,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,48,,41,,,,
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,2,1,3,Slider,89.5,2,2,1,1,Ball,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,11,,19,,,,
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,2,1,4,Changeup,87.9,0,0,2,1,Swinging strike,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,0,,35,,,,
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,2,1,5,Fastball,97,0,0,2,2,Single,Left field,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,11,,13,,,,9
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,4,2,1,Fastball,95.4,0,1,0,0,Called Strike,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,70,,51,,,,
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,4,2,2,Slider,85.9,0,3,0,1,Called Strike,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,3,,,,
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,4,2,3,Knuckle Curve,80.5,0,0,0,2,Ball,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,2,,,,
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,4,2,4,Slider,86.6,1,4,1,2,Ball,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,164,234,,,
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,4,2,5,Slider,88.2,2,5,2,2,Called Strike Out,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,0.299145299,,,
1,Yankees,AL East,G. Cole,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,6,3,1,Slider,86.7,0,6,0,0,Home Run,Left field,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
1,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,9,4,1,Slider,78.6,0,0,0,0,Called Strike,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
1,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,9,4,2,Slider,78.2,1,1,0,1,Called Strike,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
1,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,9,4,3,Fastball,85.8,0,0,0,2,Foul,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
1,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,9,4,4,Slider,77.8,2,2,0,2,Ball,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,
1,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,9,4,5,Fastball,84,1,1,1,2,Foul,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
1,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,43,Cloudy,M. Carlson,9,4,6,Fastball,84.6,2,2,1,2,Single,Left field,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,
2,Yankees,AL East,C. Kluber,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,1,1,1,Curveball,81.8,0,0,0,0,Called Strike,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2,Yankees,AL East,C. Kluber,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,1,1,2,Sinker,90,0,0,0,1,Ball,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
2,Yankees,AL East,C. Kluber,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,1,1,3,Curveball,81.2,1,1,1,1,Ball,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
2,Yankees,AL East,C. Kluber,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,1,1,4,Changeup,84.5,0,0,2,1,Ball,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
2,Yankees,AL East,C. Kluber,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,1,1,5,Cutter,85.7,0,0,3,1,Called Strike,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,
2,Yankees,AL East,C. Kluber,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,1,1,6,Curveball,82.3,2,2,3,2,Swinging strike out,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,
2,Yankees,AL East,C. Kluber,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,4,2,1,Sinker,89.8,0,1,0,0,Called Strike,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
2,Yankees,AL East,C. Kluber,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,4,2,2,Sinker,89.2,1,2,0,1,Ground out,Left field,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
2,Yankees,AL East,J. Loaisiga,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,5,3,1,Sinker,97.1,0,0,0,0,Foul,,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
2,Yankees,AL East,J. Loaisiga,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,5,3,2,Sinker,96.6,1,1,0,1,Called Strike,,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
2,Yankees,AL East,J. Loaisiga,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,5,3,3,Curveball,86.1,0,0,0,2,Ball,,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
2,Yankees,AL East,J. Loaisiga,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,5,3,4,Sinker,96.2,2,2,1,2,Fly Out,Centre field,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
2,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,8,4,1,Sinker,85.5,0,0,0,0,Ball,,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,
2,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,8,4,2,Sinker,84.9,1,1,1,0,Called Strike,,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,
2,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,8,4,3,Sinker,84.8,2,2,1,1,Swinging strike,,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,
2,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,8,4,4,Slider,77.8,0,0,1,2,Ball,,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,
2,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,8,4,5,Slider,78.6,1,1,2,2,Ball,,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
2,Yankees,AL East,D. O'Day,Right,Away,Yankee Stadium,Afternoon,44,Sunny,J. Hoye,8,4,6,Slider,78.3,2,2,3,2,Single,Left field,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
3,Yankees,AL East,D. German,Right,Away,Yankee Stadium,Afternoon,53,Sunny,J. Baker,1,1,1,Curveball,81.1,0,0,0,0,Called Strike,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3,Yankees,AL East,D. German,Right,Away,Yankee Stadium,Afternoon,53,Sunny,J. Baker,1,1,2,Curveball,80.8,1,1,0,1,Called Strike,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
3,Yankees,AL East,D. German,Right,Away,Yankee Stadium,Afternoon,53,Sunny,J. Baker,1,1,3,Curveball,82.8,2,2,0,2,Swinging strike out,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
3,Yankees,AL East,D. German,Right,Away,Yankee Stadium,Afternoon,53,Sunny,J. Baker,3,2,1,Fastball,94.5,0,0,0,0,Ball,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
